Designator,Mid X,Mid Y,Layer,Rotation
R18,95.6000,-133.4000,top,0.0000
R19,100.6000,-60.8500,top,180.0000
R20,116.6000,-65.4000,top,180.0000
R21,100.6000,-59.7500,top,180.0000
R22,100.5000,-57.3500,top,0.0000
R23,96.1000,-52.5000,top,-90.0000
R24,83.1000,-53.7000,top,180.0000
R25,83.1000,-57.0000,top,180.0000
R26,97.8000,-52.5000,top,-90.0000
R27,118.7000,-112.4000,top,180.0000
R28,118.8000,-121.6000,top,180.0000
R29,118.7500,-130.7500,top,180.0000
R30,118.7000,-140.0000,top,180.0000
R31,118.7500,-149.3500,top,180.0000
R32,106.9500,-65.2000,top,180.0000
R33,106.9500,-66.8000,top,180.0000
R34,106.9500,-68.4500,top,180.0000
R35,106.9500,-70.1000,top,180.0000
R36,106.9500,-71.7500,top,180.0000
R37,106.9500,-73.4500,top,180.0000
R38,112.4500,-97.3500,top,90.0000
R39,114.8500,-97.3500,top,90.0000
R40,110.0500,-97.3500,top,90.0000
R41,106.4500,-104.4500,top,0.0000
R42,106.4500,-102.7000,top,180.0000
R43,108.6000,-92.9000,top,-90.0000
R44,108.0000,-96.1000,top,-90.0000
R45,116.1500,-92.4000,top,-90.0000
R46,108.6000,-89.8000,top,90.0000
R48,112.0000,-102.0500,top,-90.0000
R49,113.6500,-102.0500,top,-90.0000
R50,109.8000,-105.9500,top,180.0000
R51,110.6000,-108.4000,top,-90.0000
R64,58.4000,-94.8000,top,0.0000
R65,67.0000,-74.7000,top,0.0000
R66,67.0000,-73.1000,top,0.0000
R67,62.2000,-76.8000,top,0.0000
R68,62.2000,-75.1000,top,0.0000
R69,57.7000,-84.0000,top,90.0000
R70,62.2000,-68.1000,top,0.0000
R71,62.2000,-66.5000,top,0.0000
R72,57.6000,-72.9000,top,90.0000
R81,54.2000,-136.3000,top,180.0000
R82,60.3500,-127.6500,top,90.0000
R83,57.9500,-127.6000,top,90.0000
R84,54.3000,-120.7000,top,90.0000
R85,56.1000,-120.7000,top,90.0000
R86,50.8000,-132.5000,top,90.0000
R87,47.5500,-124.8500,top,-90.0000
R88,52.5000,-120.7500,top,90.0000
R95,97.1500,-117.9500,top,0.0000
R96,95.4000,-129.1000,top,180.0000
R97,94.1500,-122.0500,top,90.0000
R98,93.3000,-126.6000,top,0.0000
R99,92.5000,-129.0000,top,-90.0000
R100,93.6000,-117.3000,top,-90.0000
R101,97.9000,-130.3000,top,90.0000
R102,82.9000,-129.9000,top,90.0000
R103,80.4000,-128.7000,top,180.0000
R104,78.8500,-120.5500,top,90.0000
R105,80.8000,-117.9000,top,0.0000
R106,78.3000,-126.0000,top,0.0000
R107,77.7000,-128.6000,top,-90.0000
R108,79.3000,-107.5000,top,180.0000
R109,67.0000,-129.4000,top,90.0000
R110,64.4000,-128.3000,top,180.0000
R111,63.0000,-122.0000,top,-90.0000
R112,66.0500,-117.1000,top,0.0000
R113,63.0000,-125.6000,top,0.0000
R114,63.6500,-130.7000,top,-90.0000
R115,63.2000,-106.7000,top,180.0000
R116,106.9500,-129.7250,top,-90.0000
R117,98.9000,-89.9000,top,-135.0000
R118,91.4000,-75.6500,top,0.0000
R122,47.6000,-118.2000,top,180.0000
R123,104.8000,-150.5500,top,90.0000
